brand	product_name	price 
MSI	MSI Gaming GeForce GTX 1660 SUPER 6GB GDDR6 PCI Express 3.0 x16 Video Card GTX 1660 SUPER GAMING X	458$
MSI	MSI GeForce GTX 1050 Ti 4GB GDDR5 PCI Express 3.0 x16 ATX Video Card GTX 1050 Ti 4GT OC	275$
GIGABYTE	GIGABYTE GeForce GTX 1650 OC 4G Graphics Card| 2 x WINDFORCE Fans| 4GB 128-Bit GDDR5| GV-N1650OC-4GD Video Card	247$
Sapphire Tech	Sapphire NITRO+ AMD RADEON RX 6900 XT SE GAMING OC Graphics Card With 16GB GDDR6 HDMI / TRIPLE DP	1,721$
GIGABYTE	GIGABYTE GeForce GT 1030 Low Profile D4 2G DirectX 12 GV-N1030D4-2GL Video Card	110$
ASRock	ASRock OC Formula Radeon RX 6900 XT 16GB GDDR6 PCI Express 4.0 x16 ATX Video Card RX6900XT OCF 16G	2,026$
XFX	XFX SPEEDSTER MERC319 AMD Radeon RX 6700 XT BLACK Gaming Graphics Card with 12GB GDDR6 HDMI 3xDP| AMD RDNA 2 (RX-67XTYTBDP)	916$
Sapphire Tech	Sapphire Nitro+ AMD Radeon RX 6700 XT Gaming OC 12GB GDDR6 HDMI / Triple DP (11306-01-20G)	861$
GIGABYTE	GIGABYTE Radeon RX 6800 XT GAMING OC 16G Graphics Card| WINDFORCE 3X Cooling System| 16GB 256-bit GDDR6| GV-R68XTGAMING OC-16GD Video Card| Powered by AMD RDNA 2| HDMI 2.1	1,186$
PowerColor	PowerColor Red Devil AMD Radeon RX 6900 XT Ultimate Gaming Graphics Card with 16GB GDDR6 Memory| Powered by AMD RDNA 2| HDMI 2.1 (AXRX 6900XTU 16GBD6-3DHE/OC)	2,392$
ASRock	ASRock Radeon RX 6700 XT Phantom Gaming D Graphic Card| 12GB GDDR6 VRAM| AMD RDNA2 (RX6700XT PGD 12GO)	892$
GIGABYTE	GIGABYTE AORUS GeForce RTX 3090 XTREME WATERFORCE WB 24G Graphics Card| WATERFORCE Water Block Cooling System| 24GB 384-bit GDDR6X| GV-N3090AORUSX WB-24GD Video Card	2,150$
GIGABYTE	GIGABYTE AORUS GeForce RTX 3090 XTREME WATERFORCE 24G Graphics Card| WATERFORCE All-in-One Cooling System| 24GB 384-bit GDDR6X| GV-N3090AORUSX W-24GD Video Card	2,150$
XFX	XFX SPEEDSTER QICK319 AMD Radeon RX 6700 XT BLACK Gaming Graphics Card with 12GB GDDR6| HDMI 3 x DP| AMD RDNA 2	915$
PowerColor	PowerColor Red Devil AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6 Memory| Powered by AMD RDNA 2| HDMI 2.1 (AXRX 6700XT 12GBD6-3DHE/OC)	932$
PowerColor	PowerColor Liquid Devil AMD Radeon RX 6900 XT Ultimate Gaming Graphics Card with 16GB GDDR6 Memory| Powered by AMD RDNA 2| HDMI 2.1 (AXRX 6900XTU 16GBD6-W2DHC/OC)	2,653$
MSI	MSI GeForce GTX 1050 Ti 4GB GDDR5 PCI Express 3.0 x16 ATX Video Card GTX 1050 Ti GAMING X 4G	274$
GIGABYTE	GIGABYTE GeForce GTX 1650 4GB GDDR6 PCI Express 3.0 x16 ATX Video Card GV-N1656WF2OC-4GD	266$
ZOTAC	ZOTAC GeForce GT 710 1GB DDR3 PCI Express x1 Video Card ZT-71304-20L	64$
GIGABYTE	GIGABYTE AORUS Radeon RX 6900 XT 16GB GDDR6 PCI Express 4.0 x16 ATX Video Card GV-R69XTAORUS M-16GD	1,966$
GIGABYTE	GIGABYTE AORUS GeForce RTX 3090 XTREME 24GB Video Card| GV-N3090AORUS X-24GD	2,054$
MSI	MSI Gaming Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 x16 Video Card RX 6700 XT GAMING X 12G	890$
GIGABYTE	GIGABYTE GeForce RTX 3090 GAMING OC 24G Video Card| GV-N3090GAMING OC-24GD	1,945$
MSI	MSI GeForce GT 1030 2GB DDR4 PCI Express 3.0 x16 (Uses x4) Low Profile Video Card GT 1030 2GD4 LP OC	137$
MSI	MSI GeForce GT 730 4GB DDR3 PCI Express 2.0 x16 Video Card N730-4GD3V2	128$
MSI	MSI GeForce 210 1GB DDR3 PCI Express 2.0 x16 Low Profile Ready Video Card N210-MD1G/D3	55$
VisionTek	Visiontek Radeon HD 7750 2GB GDDR5 6M (6 x Mini DP)| 900614	209$
